ranking,score,movie_name,score_num
168,8.7,罗生门,122139
169,8.6,心迷宫,155832
170,8.7,一次别离,129800
171,8.6,超能陆战队,358626
172,8.5,蝙蝠侠：黑暗骑士崛起,288496
173,8.5,战争之王,171726
174,8.7,可可西里,126439
175,8.7,梦之安魂曲,109732
176,8.8,地球上的星星,82192
177,8.7,碧海蓝天,106719
178,8.8,未麻的部屋,93434
179,8.6,爆裂鼓手,230983
180,8.3,恐怖游轮,313100
181,8.3,秒速5厘米,287838
182,8.5,谍影重重2,155707
183,8.5,阿飞正传,176449
184,8.6,达拉斯买家俱乐部,163774
185,8.5,谍影重重,187823
186,8.7,牯岭街少年杀人事件,103739
187,8.6,海盗电台,162861
188,8.9,惊魂记,80511
189,8.4,魔女宅急便,188945
190,8.5,被解救的姜戈,253624
191,8.5,再次出发之纽约遇见你,162469
192,9.2,东京物语,49074
193,8.7,绿里奇迹,103890
194,8.4,青蛇,214427
195,8.7,末路狂花,101761
196,8.5,勇闯夺命岛,138906
197,9.1,迁徙的鸟,51020
198,8.6,荒野生存,124089
199,8.8,哪吒闹海,77510
200,8.6,卡萨布兰卡,121562
201,8.5,终结者2：审判日,137386
202,9.0,忠犬八公物语,55471
203,8.5,这个男人来自地球,173974
204,8.3,源代码,398903
205,8.4,变脸,208954
206,8.6,燕尾蝶,106059
207,8.4,新龙门客栈,177742
208,8.5,黑客帝国3：矩阵革命,150774
209,8.4,英国病人,170585
210,9.1,黄金三镖客,49876
211,8.5,E.T. 外星人,148513
212,9.2,城市之光,42150
213,8.4,发条橙,181974
214,8.4,美国丽人,180539
215,8.6,叫我第一名,106014
216,8.4,无耻混蛋,217741
217,8.3,穆赫兰道,228656
218,8.6,非常嫌疑犯,113050
219,8.5,模仿游戏,245737
220,8.2,初恋这件小事,445584
221,8.9,勇士,85541
222,8.6,上帝也疯狂,93676
223,8.3,蓝色大门,267592
224,8.8,爱在午夜降临前,111123
225,8.8,房间,143003
226,8.6,无敌破坏王,179189
227,9.0,爱·回家,46029
228,8.5,血钻,126433
229,8.3,国王的演讲,328695
230,8.6,大卫·戈尔的一生,88233
231,8.2,疯狂的石头,301718
232,8.6,枪火,96579
233,8.7,头脑特工队,212682
234,8.5,麦兜故事,124048
235,8.3,曾经,198131
236,8.4,暖暖内含光,140480
237,8.7,千钧一发,82017
238,8.5,遗愿清单,122393
239,8.5,荒岛余生,128469
240,8.6,蝴蝶,93204
241,8.8,步履不停,64014
242,8.6,巴黎淘气帮,102419
243,8.4,彗星来的那一夜,165095
244,9.0,我爱你,54006
245,8.9,与狼共舞,54639
246,8.5,月球,139109
247,8.7,一个叫欧维的男人决定去死,104734
248,8.5,偷拐抢骗,112994
249,8.3,夜访吸血鬼,192581
250,8.8,寿司之神,79594
